person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default_label,loan_id,rate_was_missing,int_rate_filling,income_band,age_band,person_emp_length_band,loan_to_income_band
23,500000,MORTGAGE,7,DEBT CONSOLIDATION,B,30000,10.65,0,0.06,No,3,Non Default,15,0,10.65,6. 150k+,1. Under 25,5. 6-9 yrs,1. 0-10%
23,120000,RENT,0,EDUCATION,A,35000,7.9,0,0.29,No,4,Non Default,16,0,7.9,5. 100k-150k,1. Under 25,2. Under 1 yrs,3. 20-30%
23,92111,RENT,7,MEDICAL,F,35000,20.25,1,0.32,No,4,Default,17,0,20.25,4. 75k-100k,1. Under 25,5. 6-9 yrs,4. 30-40%
23,113000,RENT,8,DEBT CONSOLIDATION,D,35000,18.25,1,0.31,No,4,Default,18,0,18.25,5. 100k-150k,1. Under 25,5. 6-9 yrs,4. 30-40%
24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,1,0.16,No,2,Default,19,0,10.99,1. Under 30,1. Under 25,5. 6-9 yrs,2. 10-20%
25,162500,RENT,2,VENTURE,A,35000,7.49,0,0.22,No,4,Non Default,20,0,7.49,6. 150k+,2. 25-29,3. 1-2 yrs,3. 20-30%
25,137000,RENT,9,PERSONAL,E,34800,16.77,0,0.25,Yes,2,Non Default,21,0,16.77,5. 100k-150k,2. 25-29,5. 6-9 yrs,3. 20-30%
22,65000,RENT,4,EDUCATION,D,34000,17.58,1,0.52,No,4,Default,22,0,17.58,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
24,10980,OWN,0,PERSONAL,A,1500,7.29,0,0.14,No,3,Non Default,23,0,7.29,1. Under 30,1. Under 25,2. Under 1 yrs,2. 10-20%
22,80000,RENT,3,PERSONAL,D,33950,14.54,1,0.42,Yes,4,Default,24,0,14.54,4. 75k-100k,1. Under 25,4. 3-5yrs,4. 30-40%
24,67746,RENT,8,HOME IMPROVEMENT,C,33000,12.68,1,0.49,No,3,Default,25,0,12.68,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.42,Yes,3,Default,26,0,17.74,1. Under 30,1. Under 25,4. 3-5yrs,4. 30-40%
23,11000,OWN,0,PERSONAL,A,1400,9.32,0,0.13,No,3,Non Default,27,0,9.32,1. Under 30,1. Under 25,2. Under 1 yrs,2. 10-20%
24,65000,RENT,6,HOME IMPROVEMENT,B,32500,9.99,1,0.5,No,3,Default,28,0,9.99,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,0.35,Yes,2,Default,29,0,12.84,1. Under 30,1. Under 25,4. 3-5yrs,4. 30-40%
21,11520,OWN,5,MEDICAL,B,2000,11.12,1,0.17,No,3,Default,30,0,11.12,1. Under 30,1. Under 25,4. 3-5yrs,2. 10-20%
25,120000,RENT,2,VENTURE,A,32000,6.62,0,0.27,No,2,Non Default,31,0,6.62,5. 100k-150k,2. 25-29,3. 1-2 yrs,3. 20-30%
26,95000,RENT,7,HOME IMPROVEMENT,C,31050,14.17,1,0.33,Yes,3,Default,32,0,14.17,4. 75k-100k,2. 25-29,5. 6-9 yrs,4. 30-40%
25,306000,RENT,2,DEBT CONSOLIDATION,C,24250,13.85,0,0.08,No,3,Non Default,33,0,13.85,6. 150k+,2. 25-29,3. 1-2 yrs,1. 0-10%
26,300000,MORTGAGE,10,MEDICAL,C,7800,13.49,0,0.03,No,4,Non Default,34,0,13.49,6. 150k+,2. 25-29,6. 10+,1. 0-10%
21,12000,OWN,5,EDUCATION,A,2500,7.51,1,0.21,No,4,Default,35,0,7.51,1. Under 30,1. Under 25,4. 3-5yrs,3. 20-30%
22,48000,RENT,1,EDUCATION,E,30000,18.39,1,0.63,No,2,Default,36,0,18.39,2. 30k-50k,1. Under 25,3. 1-2 yrs,4. 30-40%
24,64000,RENT,8,DEBT CONSOLIDATION,D,30000,14.54,1,0.47,Yes,3,Default,37,0,14.54,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
25,75000,RENT,4,HOME IMPROVEMENT,D,30000,16.89,1,0.4,Yes,4,Default,38,0,16.89,4. 75k-100k,2. 25-29,4. 3-5yrs,4. 30-40%
23,71500,RENT,3,DEBT CONSOLIDATION,D,30000,,1,0.42,No,4,Default,39,1,15.31,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
26,62050,RENT,6,MEDICAL,E,30000,17.99,1,0.41,No,2,Default,40,0,17.99,3. 50k-75k,2. 25-29,5. 6-9 yrs,4. 30-40%
24,12000,OWN,4,VENTURE,B,2500,12.69,1,0.21,No,3,Default,41,0,12.69,1. Under 30,1. Under 25,4. 3-5yrs,3. 20-30%
26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0,0.07,No,4,Non Default,42,0,7.88,6. 150k+,2. 25-29,6. 10+,1. 0-10%
23,300000,OWN,1,EDUCATION,F,24250,19.41,0,0.08,Yes,2,Non Default,43,0,19.41,6. 150k+,1. Under 25,3. 1-2 yrs,1. 0-10%
26,300000,OWN,9,HOME IMPROVEMENT,B,10000,10.38,0,0.03,No,4,Non Default,44,0,10.38,6. 150k+,2. 25-29,5. 6-9 yrs,1. 0-10%
26,300000,MORTGAGE,0,EDUCATION,D,25000,15.33,0,0.08,No,3,Non Default,45,0,15.33,6. 150k+,2. 25-29,2. Under 1 yrs,1. 0-10%
25,300000,MORTGAGE,9,HOME IMPROVEMENT,E,18000,16.45,0,0.06,No,3,Non Default,46,0,16.45,6. 150k+,2. 25-29,5. 6-9 yrs,1. 0-10%
26,80690,RENT,8,PERSONAL,A,30000,7.49,1,0.37,No,3,Default,47,0,7.49,4. 75k-100k,2. 25-29,5. 6-9 yrs,4. 30-40%
22,66300,RENT,4,MEDICAL,B,30000,12.69,1,0.38,No,3,Default,48,0,12.69,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
26,89028,RENT,0,DEBT CONSOLIDATION,A,30000,6.62,1,0.34,No,3,Default,49,0,6.62,4. 75k-100k,2. 25-29,2. Under 1 yrs,4. 30-40%
24,78000,RENT,4,DEBT CONSOLIDATION,D,30000,,1,0.38,Yes,4,Default,50,1,15.31,4. 75k-100k,1. Under 25,4. 3-5yrs,4. 30-40%
23,78000,RENT,7,DEBT CONSOLIDATION,F,30000,18.62,1,0.38,Yes,3,Default,51,0,18.62,4. 75k-100k,1. Under 25,5. 6-9 yrs,4. 30-40%
23,92004,RENT,6,PERSONAL,C,30000,15.23,1,0.33,Yes,3,Default,52,0,15.23,4. 75k-100k,1. Under 25,5. 6-9 yrs,4. 30-40%
23,97000,RENT,7,VENTURE,B,30000,10.65,1,0.31,No,2,Default,53,0,10.65,4. 75k-100k,1. Under 25,5. 6-9 yrs,4. 30-40%
25,120000,RENT,9,EDUCATION,A,30000,7.9,0,0.25,No,4,Non Default,54,0,7.9,5. 100k-150k,2. 25-29,5. 6-9 yrs,3. 20-30%
26,280000,RENT,4,PERSONAL,C,10000,15.96,0,0.04,Yes,3,Non Default,55,0,15.96,6. 150k+,2. 25-29,4. 3-5yrs,1. 0-10%
26,277104,RENT,0,VENTURE,B,20000,11.48,0,0.07,No,3,Non Default,56,0,11.48,6. 150k+,2. 25-29,2. Under 1 yrs,1. 0-10%
23,277000,OWN,3,PERSONAL,A,35000,,0,0.13,No,4,Non Default,57,1,7.49,6. 150k+,1. Under 25,4. 3-5yrs,2. 10-20%
25,128000,RENT,9,PERSONAL,A,30000,7.29,0,0.23,No,4,Non Default,58,0,7.29,5. 100k-150k,2. 25-29,5. 6-9 yrs,3. 20-30%
24,12000,OWN,2,VENTURE,E,1750,,0,0.15,Yes,3,Non Default,59,1,16.82,1. Under 30,1. Under 25,3. 1-2 yrs,2. 10-20%
21,131000,RENT,0,VENTURE,A,30000,5.99,0,0.23,No,4,Non Default,60,0,5.99,5. 100k-150k,1. Under 25,2. Under 1 yrs,3. 20-30%
22,275000,OWN,6,VENTURE,B,12000,11.58,0,0.04,No,2,Non Default,61,0,11.58,6. 150k+,1. Under 25,5. 6-9 yrs,1. 0-10%
26,263000,MORTGAGE,0,EDUCATION,B,10000,,1,0.04,No,4,Default,62,1,10.99,6. 150k+,2. 25-29,2. Under 1 yrs,1. 0-10%
25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,1,0.1,No,2,Default,63,0,15.7,6. 150k+,2. 25-29,5. 6-9 yrs,1. 0-10%
22,70000,RENT,6,EDUCATION,D,29100,15.99,1,0.42,No,3,Default,64,0,15.99,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
22,12000,MORTGAGE,7,EDUCATION,D,1500,14.84,0,0.13,Yes,3,Non Default,65,0,14.84,1. Under 30,1. Under 25,5. 6-9 yrs,2. 10-20%
26,260000,OWN,10,HOME IMPROVEMENT,B,28000,10.99,0,0.11,No,3,Non Default,66,0,10.99,6. 150k+,2. 25-29,6. 10+,2. 10-20%
25,259000,MORTGAGE,9,HOME IMPROVEMENT,D,20000,14.42,0,0.08,Yes,2,Non Default,67,0,14.42,6. 150k+,2. 25-29,5. 6-9 yrs,1. 0-10%
24,255000,MORTGAGE,9,EDUCATION,A,9600,6.99,0,0.04,No,2,Non Default,68,0,6.99,6. 150k+,1. Under 25,5. 6-9 yrs,1. 0-10%
25,250000,RENT,2,MEDICAL,C,25000,13.49,0,0.1,No,4,Non Default,69,0,13.49,6. 150k+,2. 25-29,3. 1-2 yrs,1. 0-10%
25,12000,OWN,0,MEDICAL,C,3000,,1,0.25,No,3,Default,70,1,13.48,1. Under 30,2. 25-29,2. Under 1 yrs,3. 20-30%
22,56950,RENT,6,MEDICAL,A,28000,,1,0.49,No,2,Default,71,1,7.49,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Yes,3,Default,72,0,13.61,1. Under 30,1. Under 25,5. 6-9 yrs,3. 20-30%
23,65000,RENT,2,EDUCATION,A,28000,7.9,1,0.43,No,2,Default,73,0,7.9,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
26,85000,RENT,2,VENTURE,A,28000,7.49,1,0.33,No,3,Default,74,0,7.49,4. 75k-100k,2. 25-29,3. 1-2 yrs,4. 30-40%
26,12000,OWN,2,EDUCATION,A,6100,7.51,1,0.51,No,3,Default,75,0,7.51,1. Under 30,2. 25-29,3. 1-2 yrs,4. 30-40%
22,88000,RENT,6,VENTURE,B,28000,9.91,1,0.32,No,3,Default,76,0,9.91,4. 75k-100k,1. Under 25,5. 6-9 yrs,4. 30-40%
21,12000,OWN,0,PERSONAL,C,4200,13.48,1,0.35,Yes,4,Default,77,0,13.48,1. Under 30,1. Under 25,2. Under 1 yrs,4. 30-40%
22,12000,OWN,6,DEBT CONSOLIDATION,A,4750,7.14,1,0.4,No,2,Default,78,0,7.14,1. Under 30,1. Under 25,5. 6-9 yrs,4. 30-40%
24,83004,RENT,0,VENTURE,D,28000,15.99,1,0.34,Yes,4,Default,79,0,15.99,4. 75k-100k,1. Under 25,2. Under 1 yrs,4. 30-40%
24,250000,RENT,2,EDUCATION,C,18000,12.98,0,0.07,Yes,3,Non Default,80,0,12.98,6. 150k+,1. Under 25,3. 1-2 yrs,1. 0-10%
25,100000,RENT,5,DEBT CONSOLIDATION,B,28000,12.69,0,0.28,No,3,Non Default,81,0,12.69,5. 100k-150k,2. 25-29,4. 3-5yrs,3. 20-30%
26,110000,RENT,10,EDUCATION,A,28000,8.9,0,0.25,No,2,Non Default,82,0,8.9,5. 100k-150k,2. 25-29,6. 10+,3. 20-30%
26,12000,OWN,0,DEBT CONSOLIDATION,A,2700,,1,0.23,No,4,Default,83,1,7.49,1. Under 30,2. 25-29,2. Under 1 yrs,3. 20-30%
22,108000,RENT,6,EDUCATION,B,28000,,1,0.26,No,4,Default,84,1,10.99,5. 100k-150k,1. Under 25,5. 6-9 yrs,3. 20-30%
23,151200,RENT,7,DEBT CONSOLIDATION,B,28000,11.11,0,0.19,No,2,Non Default,85,0,11.11,6. 150k+,1. Under 25,5. 6-9 yrs,2. 10-20%
24,69000,RENT,2,HOME IMPROVEMENT,A,27600,,1,0.4,No,2,Default,86,1,7.49,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
21,12000,MORTGAGE,5,DEBT CONSOLIDATION,E,3250,15.68,1,0.27,Yes,3,Default,87,0,15.68,1. Under 30,1. Under 25,4. 3-5yrs,3. 20-30%
22,70000,RENT,4,EDUCATION,C,27500,13.06,1,0.39,Yes,3,Default,88,0,13.06,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
22,240000,OWN,6,PERSONAL,B,25000,,0,0.1,No,2,Non Default,89,1,10.99,6. 150k+,1. Under 25,5. 6-9 yrs,1. 0-10%
26,73200,RENT,5,VENTURE,D,27050,15.62,1,0.37,Yes,2,Default,90,0,15.62,3. 50k-75k,2. 25-29,4. 3-5yrs,4. 30-40%
24,83000,RENT,5,PERSONAL,C,27000,13.49,1,0.33,Yes,2,Default,91,0,13.49,4. 75k-100k,1. Under 25,4. 3-5yrs,4. 30-40%
24,73399,RENT,0,VENTURE,D,27000,,1,0.37,No,3,Default,92,1,15.31,3. 50k-75k,1. Under 25,2. Under 1 yrs,4. 30-40%
23,62500,RENT,7,MEDICAL,B,26000,11.71,1,0.42,No,2,Default,93,0,11.71,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
23,120000,RENT,1,EDUCATION,B,25600,12.69,0,0.21,No,3,Non Default,94,0,12.69,5. 100k-150k,1. Under 25,3. 1-2 yrs,3. 20-30%
24,12360,OWN,2,MEDICAL,C,1600,13.57,0,0.13,No,3,Non Default,95,0,13.57,1. Under 30,1. Under 25,3. 1-2 yrs,2. 10-20%
22,60000,RENT,0,VENTURE,B,25475,10.99,1,0.42,No,3,Default,96,0,10.99,3. 50k-75k,1. Under 25,2. Under 1 yrs,4. 30-40%
25,234000,MORTGAGE,3,MEDICAL,C,20000,14.27,0,0.09,Yes,4,Non Default,97,0,14.27,6. 150k+,2. 25-29,4. 3-5yrs,1. 0-10%
24,234000,OWN,8,HOME IMPROVEMENT,B,20000,8.88,0,0.09,No,4,Non Default,98,0,8.88,6. 150k+,1. Under 25,5. 6-9 yrs,1. 0-10%
26,234000,MORTGAGE,10,HOME IMPROVEMENT,B,21600,12.18,0,0.09,No,3,Non Default,99,0,12.18,6. 150k+,2. 25-29,6. 10+,1. 0-10%
25,221004,MORTGAGE,6,DEBT CONSOLIDATION,D,11900,14.42,1,0.05,Yes,3,Default,100,0,14.42,6. 150k+,2. 25-29,5. 6-9 yrs,1. 0-10%
26,232500,MORTGAGE,0,MEDICAL,C,25000,14.17,0,0.11,Yes,2,Non Default,101,0,14.17,6. 150k+,2. 25-29,2. Under 1 yrs,2. 10-20%
25,230000,MORTGAGE,5,MEDICAL,C,35000,13.99,0,0.15,No,4,Non Default,102,0,13.99,6. 150k+,2. 25-29,4. 3-5yrs,2. 10-20%
23,83000,RENT,7,EDUCATION,B,25300,10.99,1,0.3,No,3,Default,103,0,10.99,4. 75k-100k,1. Under 25,5. 6-9 yrs,3. 20-30%
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,No,4,Default,104,0,5.42,1. Under 30,1. Under 25,1. Unknown,2. 10-20%
25,12600,OWN,3,PERSONAL,C,1750,13.61,0,0.14,No,3,Non Default,105,0,13.61,1. Under 30,2. 25-29,4. 3-5yrs,2. 10-20%
21,42500,RENT,3,EDUCATION,C,25000,12.73,1,0.59,Yes,3,Default,106,0,12.73,2. 30k-50k,1. Under 25,4. 3-5yrs,4. 30-40%
24,41000,RENT,2,HOME IMPROVEMENT,D,25000,,1,0.61,No,3,Default,107,1,15.31,2. 30k-50k,1. Under 25,3. 1-2 yrs,4. 30-40%
25,12816,OWN,0,DEBT CONSOLIDATION,C,3000,12.87,1,0.23,Yes,4,Default,108,0,12.87,1. Under 30,2. 25-29,2. Under 1 yrs,3. 20-30%
24,12960,MORTGAGE,1,HOME IMPROVEMENT,B,3650,9.91,1,0.28,No,3,Default,109,0,9.91,1. Under 30,1. Under 25,3. 1-2 yrs,3. 20-30%
26,226000,MORTGAGE,4,HOME IMPROVEMENT,B,20000,11.49,0,0.09,No,4,Non Default,110,0,11.49,6. 150k+,2. 25-29,4. 3-5yrs,1. 0-10%
25,225000,MORTGAGE,0,HOME IMPROVEMENT,E,30000,19.91,0,0.13,Yes,2,Non Default,111,0,19.91,6. 150k+,2. 25-29,2. Under 1 yrs,2. 10-20%
26,213000,MORTGAGE,6,EDUCATION,B,35000,10.65,1,0.16,No,2,Default,112,0,10.65,6. 150k+,2. 25-29,5. 6-9 yrs,2. 10-20%
24,225000,RENT,0,MEDICAL,B,6000,,0,0.03,No,4,Non Default,113,1,10.99,6. 150k+,1. Under 25,2. Under 1 yrs,1. 0-10%
24,12960,MORTGAGE,0,DEBT CONSOLIDATION,B,4500,11.83,1,0.35,No,4,Default,114,0,11.83,1. Under 30,1. Under 25,2. Under 1 yrs,4. 30-40%
23,12996,OWN,0,DEBT CONSOLIDATION,C,2400,13.49,1,0.18,Yes,2,Default,115,0,13.49,1. Under 30,1. Under 25,2. Under 1 yrs,2. 10-20%
22,42000,RENT,6,MEDICAL,D,25000,14.59,1,0.6,Yes,2,Default,116,0,14.59,2. 30k-50k,1. Under 25,5. 6-9 yrs,4. 30-40%
26,48000,RENT,2,EDUCATION,B,25000,9.64,1,0.52,No,4,Default,117,0,9.64,2. 30k-50k,2. 25-29,3. 1-2 yrs,4. 30-40%
25,12996,OWN,1,MEDICAL,D,3600,14.59,1,0.28,No,3,Default,118,0,14.59,1. Under 30,2. 25-29,3. 1-2 yrs,3. 20-30%
22,12996,OWN,1,EDUCATION,B,4750,,1,0.37,No,3,Default,119,1,10.99,1. Under 30,1. Under 25,3. 1-2 yrs,4. 30-40%
25,42360,RENT,1,EDUCATION,E,25000,16.35,1,0.59,Yes,3,Default,120,0,16.35,2. 30k-50k,2. 25-29,3. 1-2 yrs,4. 30-40%
21,49000,RENT,4,EDUCATION,B,25000,10.99,1,0.51,No,2,Default,121,0,10.99,2. 30k-50k,1. Under 25,4. 3-5yrs,4. 30-40%
25,225000,MORTGAGE,0,VENTURE,F,25000,18.67,0,0.11,No,2,Non Default,122,0,18.67,6. 150k+,2. 25-29,2. Under 1 yrs,2. 10-20%
26,225000,RENT,1,EDUCATION,A,3000,9.32,0,0.01,No,4,Non Default,123,0,9.32,6. 150k+,2. 25-29,3. 1-2 yrs,1. 0-10%
23,225000,RENT,8,DEBT CONSOLIDATION,A,7500,8.63,0,0.03,No,2,Non Default,124,0,8.63,6. 150k+,1. Under 25,5. 6-9 yrs,1. 0-10%
26,225000,MORTGAGE,2,VENTURE,B,25000,10.08,0,0.11,No,2,Non Default,125,0,10.08,6. 150k+,2. 25-29,3. 1-2 yrs,2. 10-20%
22,49464,RENT,5,PERSONAL,B,25000,11.83,1,0.51,No,3,Default,126,0,11.83,2. 30k-50k,1. Under 25,4. 3-5yrs,4. 30-40%
23,50000,RENT,1,DEBT CONSOLIDATION,A,25000,7.9,1,0.5,No,3,Default,127,0,7.9,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
25,50000,RENT,4,HOME IMPROVEMENT,A,25000,5.99,1,0.5,No,2,Default,128,0,5.99,3. 50k-75k,2. 25-29,4. 3-5yrs,4. 30-40%
24,44000,RENT,2,DEBT CONSOLIDATION,D,25000,15.33,1,0.57,No,2,Default,129,0,15.33,2. 30k-50k,1. Under 25,3. 1-2 yrs,4. 30-40%
23,50000,RENT,1,VENTURE,B,25000,11.83,1,0.5,No,4,Default,130,0,11.83,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
22,50004,RENT,0,VENTURE,B,25000,10.36,1,0.5,No,2,Default,131,0,10.36,3. 50k-75k,1. Under 25,2. Under 1 yrs,4. 30-40%
22,50004,RENT,3,VENTURE,C,25000,12.23,1,0.5,No,3,Default,132,0,12.23,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
22,52000,RENT,2,EDUCATION,B,25000,11.11,1,0.48,No,4,Default,133,0,11.11,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
23,13200,OWN,3,DEBT CONSOLIDATION,A,4950,7.9,1,0.38,No,4,Default,134,0,7.9,1. Under 30,1. Under 25,4. 3-5yrs,4. 30-40%
24,220000,MORTGAGE,1,EDUCATION,B,25000,11.58,0,0.11,No,2,Non Default,135,0,11.58,6. 150k+,1. Under 25,3. 1-2 yrs,2. 10-20%
23,216000,MORTGAGE,5,DEBT CONSOLIDATION,A,21000,8.9,0,0.1,No,3,Non Default,136,0,8.9,6. 150k+,1. Under 25,4. 3-5yrs,1. 0-10%
25,216000,MORTGAGE,2,EDUCATION,D,25000,16.07,0,0.12,No,3,Non Default,137,0,16.07,6. 150k+,2. 25-29,3. 1-2 yrs,2. 10-20%
26,216000,MORTGAGE,10,EDUCATION,C,20000,14.22,0,0.09,Yes,2,Non Default,138,0,14.22,6. 150k+,2. 25-29,6. 10+,1. 0-10%
23,215000,MORTGAGE,7,MEDICAL,C,35000,14.79,0,0.16,Yes,3,Non Default,139,0,14.79,6. 150k+,1. Under 25,5. 6-9 yrs,2. 10-20%
26,215000,MORTGAGE,11,EDUCATION,A,12000,7.88,0,0.06,No,2,Non Default,140,0,7.88,6. 150k+,2. 25-29,6. 10+,1. 0-10%
23,52000,RENT,1,PERSONAL,C,25000,13.22,1,0.48,No,2,Default,141,0,13.22,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
26,46000,RENT,2,DEBT CONSOLIDATION,D,25000,11.86,1,0.54,No,4,Default,142,0,11.86,2. 30k-50k,2. 25-29,3. 1-2 yrs,4. 30-40%
22,53000,RENT,5,EDUCATION,C,25000,13.43,1,0.47,Yes,4,Default,143,0,13.43,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
26,47000,RENT,0,HOME IMPROVEMENT,D,25000,15.28,1,0.53,Yes,2,Default,144,0,15.28,2. 30k-50k,2. 25-29,2. Under 1 yrs,4. 30-40%
23,47000,RENT,1,VENTURE,E,25000,17.93,1,0.53,No,2,Default,145,0,17.93,2. 30k-50k,1. Under 25,3. 1-2 yrs,4. 30-40%
23,13200,MORTGAGE,2,EDUCATION,B,1400,9.25,0,0.11,No,4,Non Default,146,0,9.25,1. Under 30,1. Under 25,3. 1-2 yrs,2. 10-20%
21,13200,OWN,0,VENTURE,C,4500,12.98,1,0.34,No,4,Default,147,0,12.98,1. Under 30,1. Under 25,2. Under 1 yrs,4. 30-40%
22,210000,MORTGAGE,6,VENTURE,B,16000,10.62,0,0.08,No,4,Non Default,148,0,10.62,6. 150k+,1. Under 25,5. 6-9 yrs,1. 0-10%
26,210000,OWN,10,PERSONAL,B,22000,11.83,0,0.1,No,4,Non Default,149,0,11.83,6. 150k+,2. 25-29,6. 10+,1. 0-10%
26,48000,RENT,5,VENTURE,F,25000,18.43,1,0.52,No,2,Default,150,0,18.43,2. 30k-50k,2. 25-29,4. 3-5yrs,4. 30-40%
22,54996,RENT,6,EDUCATION,B,25000,,1,0.45,No,4,Default,151,1,10.99,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
24,55000,RENT,4,HOME IMPROVEMENT,D,25000,,1,0.45,Yes,4,Default,152,1,15.31,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
23,55000,RENT,4,EDUCATION,B,25000,11.36,1,0.45,No,3,Default,153,0,11.36,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
23,55000,RENT,4,EDUCATION,D,25000,15.65,1,0.45,Yes,3,Default,154,0,15.65,3. 50k-75k,1. Under 25,4. 3-5yrs,4. 30-40%
24,55164,RENT,8,PERSONAL,C,25000,13.22,1,0.45,Yes,4,Default,155,0,13.22,3. 50k-75k,1. Under 25,5. 6-9 yrs,4. 30-40%
26,56000,RENT,4,DEBT CONSOLIDATION,C,25000,12.87,1,0.45,No,2,Default,156,0,12.87,3. 50k-75k,2. 25-29,4. 3-5yrs,4. 30-40%
24,203500,OWN,8,MEDICAL,C,20000,13.04,0,0.1,No,3,Non Default,157,0,13.04,6. 150k+,1. Under 25,5. 6-9 yrs,1. 0-10%
23,190000,MORTGAGE,5,EDUCATION,F,22000,17.58,1,0.12,Yes,3,Default,158,0,17.58,6. 150k+,1. Under 25,4. 3-5yrs,2. 10-20%
23,13920,OWN,2,PERSONAL,E,7750,17.04,1,0.56,No,4,Default,159,0,17.04,1. Under 30,1. Under 25,3. 1-2 yrs,4. 30-40%
24,60000,RENT,0,PERSONAL,B,25000,10.99,1,0.42,No,3,Default,160,0,10.99,3. 50k-75k,1. Under 25,2. Under 1 yrs,4. 30-40%
24,60000,RENT,2,PERSONAL,B,25000,11.11,1,0.42,No,3,Default,161,0,11.11,3. 50k-75k,1. Under 25,3. 1-2 yrs,4. 30-40%
